,TQQQ US,TMF US,UCO US,YINN US,GUSH US,AGQ US
2022-01-03,85.565,25.9989238,88.66,8.308952940000001,96.13,33.55
2022-01-04,82.24,25.659199200000003,90.91,7.86900838,104.43,34.03
2022-01-05,74.675,25.279507000000002,90.17,7.41906508,97.94,33.03
2022-01-06,74.47,25.419393600000003,94.4,7.829013420000001,104.09,31.33
2022-01-07,72.035,24.9098067,93.81,8.2989542,104.14,31.74
2022-01-10,72.3,25.0596852,92.15,8.318951680000001,102.79,32.21
2022-01-11,75.48,25.519312600000003,98.3,9.11885088,111.96,33.17
2022-01-12,76.34,25.2495313,100.59,9.718775280000001,114.05,34.32
2022-01-13,70.8,25.958956200000003,98.62,9.03886096,110.04,33.99
2022-01-14,71.87,24.779912000000003,104.08,9.3488219,116.66,33.55
2022-01-18,66.69,23.660819200000002,107.59,8.998866000000001,112.63,35.18
2022-01-19,64.37,24.2303575,107.84,9.11885088,109.9,37.3
2022-01-20,61.88,24.650017300000002,106.66,9.938747560000001,102.64,38.14
2022-01-21,56.67,25.569272100000003,107.12,9.36881938,94.99,37.39
2022-01-24,57.49,24.899814800000005,104.69,8.938873560000001,98.62,36.48
2022-01-25,53.25,24.729952500000003,107.28,8.968869780000002,106.44,36.19
2022-01-26,53.15,23.900624800000003,109.68,8.418939080000001,103.51,35.12
2022-01-27,51.56,25.169596100000003,110.31,7.96899578,103.49,32.73
2022-01-28,56.37,25.209563700000004,110.65,7.899004600000001,105.7,31.76
2022-01-31,61.83,24.7998958,112.09,9.03886096,106.66,32.02
2022-02-01,63.01,24.550098300000002,112.24,9.1988408,115.85,32.36
2022-02-02,64.5,24.8198796,112.48,8.988867260000001,117.02,32.45
2022-02-03,56.74,24.280317000000004,115.88,8.828887420000001,113.73,31.68
2022-02-04,58.7,23.151232300000004,120.48,9.058858440000002,117.3,31.97
2022-02-07,57.37,23.261143200000003,120.11,8.91887608,116.12,33.51
2022-02-08,59.32,22.7215806,116.16,9.128849620000002,108.6,34.02
2022-02-09,63.0,22.901434800000004,118.39,9.628786620000001,113.11,34.26
2022-02-10,58.82,21.7723501,117.52,9.26883198,113.39,33.99
2022-02-11,53.28,22.7515563,123.73,8.78889246,121.62,35.2
2022-02-14,53.43,21.922228600000004,125.72,8.52892522,115.64,35.97
2022-02-15,57.3,21.1728361,118.0,8.92887482,113.13,34.57
2022-02-16,57.29,21.532544500000004,115.29,9.08885466,112.22,35.3
2022-02-17,52.21,21.992171900000002,117.8,8.898878600000002,112.2,35.87
2022-02-18,50.44,22.671621100000003,120.0,8.128975620000002,109.66,36.1
2022-02-22,48.88,22.831491500000002,122.85,7.499055,105.41,36.82
2022-02-23,45.14,21.9122367,125.56,7.239087760000001,109.09,38.16
2022-02-24,49.56,21.9721881,125.53,7.05911044,112.94,36.75
2022-02-25,51.91,22.0221476,123.63,7.159097840000001,115.27,37.0
2022-02-28,52.46,23.440997400000004,129.44,6.9291268200000005,127.37,37.74
2022-03-01,50.04,24.2603332,145.47,6.88913186,132.5,40.95
2022-03-02,52.43,21.7923339,158.88,6.75914824,137.22,40.26
2022-03-03,50.24,22.4717831,157.9,6.26920998,134.35,40.04
2022-03-04,48.09,23.5908759,177.38,5.8292654200000005,145.81,41.54
2022-03-07,42.72,23.1112647,187.02,5.189346060000001,146.78,41.69
2022-03-08,42.13,22.3518803,193.82,4.969373780000001,149.7,45.25
2022-03-09,46.64,21.6624392,153.21,5.1993448,146.72,42.1
2022-03-10,45.14,20.7931439,150.67,4.50943174,153.43,43.02
2022-03-11,42.34,20.943022400000004,159.53,3.9295048200000005,148.0,42.61
2022-03-14,39.86,19.5441564,146.45,3.1396043600000003,134.7,39.69
2022-03-15,43.55,19.384286,133.6,3.10960814,130.49,39.1
2022-03-16,48.44,20.0237676,131.69,5.11935488,131.4,39.24
2022-03-17,50.06,19.4742131,150.01,4.549426700000001,145.72,40.17
2022-03-18,53.17,20.2036218,153.57,5.239339760000001,144.84,38.93
2022-03-21,52.79,18.814747699999998,170.12,4.58942166,154.8,40.04
2022-03-22,55.91,18.09,166.53,5.15,152.5,38.47
2022-03-23,53.55,19.29,177.5,5.09,159.11,39.79
2022-03-24,57.02,18.81,168.65,4.94,162.86,41.34
2022-03-25,56.93,18.08,171.47,4.72,178.55,40.65
